strategy,,year 0,year 1,year 2,year 3,year 4,year 5,year 6,year 7,year 8,year 9,year 10,year 11,year 12,year 13,year 14,year 15,year 16,year 17,year 18,year 19,year 20,year 21,year 22,year 23,year 24,year 25,year 26,year 27,year 28,year 29,year 30,year 31,year 32,year 33,year 34,year 35,year 36,year 37,year 38,year 39
I_NN,Net benefit,36677.25265,272047.9925,369643.6767,476612.9437,619264.1198,784915.8869,967342.3188,1141248.776,1391558.899,1614828.73,1860810.554,2151879.755,2560737.447,2925416.551,3430367.281,3811305.312,4261600.922,4812420.734,5261794.251,5898617.831,6435820.397,6886001.85,7407737.265,7970678.872,8575634.46,9268805.055,9771271.864,10285956.02,10748782.84,11280309.67,11807105.57,12257518.28,12577555.34,13065951.32,13442036.53,13763892.91,14047325.65,14269238.81,14447525.63,14631819.5
,Underground proportion,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619,0.33837619
I_NC,Net benefit,36677.25265,1007576.851,1222369.232,1520570.203,1999575.477,2615960.728,3229882.941,3776746.224,4619013.906,5551668.944,6447834.299,7606857.357,9114941.643,10619850.06,12427869.19,13980591.21,15687483.99,17734813.07,19404116.25,21696028.68,23560206.36,25068696.08,26853275.9,28545565.76,30262569.66,31958610.22,33353080.76,34653759.7,35764093.67,36921412.78,38108547.32,39194013.87,40079281.75,41126387.47,42061182.42,42941748.55,43783891.02,44564513.92,45301510.48,46044514.1
,Underground proportion,0.33837619,0.356212685,0.358287737,0.361957561,0.36873995,0.377764229,0.385862755,0.392206068,0.402850326,0.415370542,0.425976383,0.440412403,0.458687587,0.476834417,0.497149999,0.513999243,0.53158291,0.552614234,0.567775917,0.589721102,0.605059343,0.615192901,0.628131876,0.638340806,0.647805421,0.655162209,0.66054432,0.664131014,0.665551723,0.666589492,0.668061154,0.669129906,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015
I_NA,Net benefit,36677.25265,13438718.74,14577574.25,15630779.31,16699387.34,17707523.75,18648545.31,19509003.8,20319604.3,21097904.08,21917084.77,22747853.84,23604745.07,24428535.47,25343700.91,26178731.52,27059126.76,28005081.75,28885623.69,29888120.15,30826421.29,31708693.73,32637759.46,33594030.71,34578000.71,35619707.77,36538042.87,37592623.38,38606558.82,39691132.03,40768445.84,41771500.22,42649730.97,43696836.69,44631631.64,45512197.76,46354340.24,47134963.14,47871959.7,48614963.31
,Underground proportion,0.33837619,0.615192901,0.628131876,0.638340806,0.647805421,0.655162209,0.66054432,0.664131014,0.665551723,0.666589492,0.668061154,0.669129906,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015
I_CN,Net benefit,36677.25265,2037920.925,2360686.708,2854776.237,3701110.353,4914437.572,5999507.949,6940956.793,8285595.96,9919836.099,11560119.26,13678611.48,16483696.75,19135493.42,22505447.46,25322347.78,28303460.58,32140832.34,34941622.14,39056062,42291103.97,44647203.61,47729763.51,50387589.05,52926154.22,55310667.07,57148314.16,58897792.81,60135058.93,61428747.46,62667395.18,63936401.22,64841261.31,65888367.03,66823161.98,67703728.1,68545870.58,69326493.48,70063490.04,70806493.66
,Underground proportion,0.33837619,0.356212685,0.358287737,0.361957561,0.36873995,0.377764229,0.385862755,0.392206068,0.402850326,0.415370542,0.425976383,0.440412403,0.458687587,0.476834417,0.497149999,0.513999243,0.53158291,0.552614234,0.567775917,0.589721102,0.605059343,0.615192901,0.628131876,0.638340806,0.647805421,0.655162209,0.66054432,0.664131014,0.665551723,0.666589492,0.668061154,0.669129906,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015
I_AN,Net benefit,36677.25265,30315879.24,32355456.48,34076348.6,35703896.57,37169365.34,38392531.72,39536653.67,40385537.22,41215774.15,42024640.24,42919673.89,43692584.32,44432399.07,45222059.32,45968809.6,46740540.08,47548242.02,48320937.85,49160176.91,49965058.91,50740038.5,51540890.58,52356877.38,53188336.13,54051452.7,54848440.88,55887221.4,56894773.21,57974590.18,59045024.26,60042982.52,60920779.87,61967885.59,62902680.54,63783246.66,64625389.14,65406012.04,66143008.6,66886012.21
,Underground proportion,0.33837619,0.615192901,0.628131876,0.638340806,0.647805421,0.655162209,0.66054432,0.664131014,0.665551723,0.666589492,0.668061154,0.669129906,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015,0.669219015
J_CC,Net benefit,36677.25265,2265003.118,2644316.788,3220257.092,4196707.081,5583035.391,6843719.483,7954092.296,9537662.691,11459913.86,13389331.02,15872889.85,19129120.05,22261076.72,26185915.67,29540406.96,33101472.18,37615032.45,41028482.09,45904807.48,49831622.77,52816300.55,56606302.07,59944755.96,63169032.28,66219214.33,68695687.88,71062313.29,72877670.58,74746351.32,76568650.88,78419103.82,79884723.37,81490538.83,82984043.52,84423319.39,85824171.61,87163504.25,88459210.55,89760923.9
,Underground proportion,0.33837619,0.37404918,0.378199284,0.385538933,0.39910371,0.417152269,0.433349321,0.446035945,0.467324462,0.492364895,0.513576576,0.542448616,0.578998983,0.615292645,0.655923808,0.689622296,0.72478963,0.766852279,0.797175644,0.841066015,0.871742495,0.892009613,0.917887561,0.938305423,0.957234652,0.971948227,0.982712451,0.989885838,0.992727256,0.994802794,0.997746119,0.999883622,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841
I_CC,Net benefit,36677.25265,2773449.783,3213412.264,3898733.496,5081421.71,6745482.414,8262048.571,9576454.241,11513050.97,13856676.31,16147143.01,19133589.08,23037900.94,26829926.93,31502949.36,35491633.68,39729343.65,45063224.68,49083944.14,54853472.85,59415489.93,62829897.83,67175302.15,70962475.94,74613089.41,78000472.23,80730123.05,83265596.49,85150369.76,87069850.58,88968836.92,90872896.81,92342987.72,93948803.19,95442307.88,96881583.74,98282435.96,99621768.6,100917474.9,102219188.3
,Underground proportion,0.33837619,0.37404918,0.378199284,0.385538933,0.39910371,0.417152269,0.433349321,0.446035945,0.467324462,0.492364895,0.513576576,0.542448616,0.578998983,0.615292645,0.655923808,0.689622296,0.72478963,0.766852279,0.797175644,0.841066015,0.871742495,0.892009613,0.917887561,0.938305423,0.957234652,0.971948227,0.982712451,0.989885838,0.992727256,0.994802794,0.997746119,0.999883622,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841
J_AA,Net benefit,36677.25265,35578721.71,38285788.63,40650940.92,42917533.05,44998560,46809940.48,48526984.57,49889443.54,51240523.42,52570980.38,53969637.95,55187572.82,56386498.87,57586373.83,58787216.69,59989046.8,61191883.91,62395748.17,63600660.1,64806640.68,66013711.26,67221893.65,68431210.09,69641683.26,70853336.28,72066192.77,73644869.65,75203530.06,76836393.42,78457345.41,80007945.34,81443936.37,83049751.83,84543256.52,85982532.39,87383384.61,88722717.25,90018423.55,91320136.9
,Underground proportion,0.33837619,0.892009613,0.917887561,0.938305423,0.957234652,0.971948227,0.982712451,0.989885838,0.992727256,0.994802794,0.997746119,0.999883622,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841
I_AA,Net benefit,36677.25265,43482549.98,46563387.05,49230514.97,51784019.79,54091973.19,56073734.71,57904408.69,59313582.62,60698849.5,62080914.46,63515647.98,64736591.95,65935517.99,67135392.95,68336235.81,69538065.92,70740903.04,71944767.29,73149679.23,74355659.8,75562730.38,76770912.78,77980229.22,79190702.38,80402355.41,81615211.89,83193888.77,84752549.19,86385412.55,88006364.53,89556964.46,90992955.49,92598770.96,94092275.65,95531551.51,96932403.73,98271736.37,99567442.67,100869156
,Underground proportion,0.33837619,0.892009613,0.917887561,0.938305423,0.957234652,0.971948227,0.982712451,0.989885838,0.992727256,0.994802794,0.997746119,0.999883622,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841,1.000061841
